taxa	taxid	superkingdom	clade	kingdom	family	genus
Atlauavirus caeruleum	2734087	Viruses	Duplodnaviria	Heunggongvirae	Kyanoviridae	Atlauavirus
Lake Sarah-associated circular virus-14	1685740	Viruses	NA	NA	NA	NA
Cryptosporidium parvum	5807	Eukaryota	Sar	NA	Cryptosporidiidae	Cryptosporidium
Plasmodium gaboni	647221	Eukaryota	Sar	NA	Plasmodiidae	Plasmodium
Synechococcus sp. PCC 73109	374982	Bacteria	Terrabacteria group	NA	Geminocystaceae	Picosynechococcus
Bell pepper mottle virus	368735	Viruses	Riboviria	Orthornavirae	Virgaviridae	Tobamovirus
Hopescreekvirus LfeInf	2845136	Viruses	Duplodnaviria	Heunggongvirae	Herelleviridae	Hopescreekvirus
Lactobacillus phage phi jlb1	1416334	Viruses	Duplodnaviria	Heunggongvirae	NA	NA
Microbacterium phage AvGardian	2725619	Viruses	Duplodnaviria	Heunggongvirae	NA	Dismasvirus
Streptococcus phage CHPC1036	2365012	Viruses	Duplodnaviria	Heunggongvirae	Aliceevansviridae	Moineauvirus
Eptesipox virus	1329402	Viruses	Varidnaviria	Bamfordvirae	Poxviridae	Vespertilionpoxvirus
Alphanudivirus alterdromelanogasteris	3051615	Viruses	NA	NA	Nudiviridae	Alphanudivirus
Lactobacillus sp. PV012	2594494	Bacteria	Terrabacteria group	NA	Lactobacillaceae	Lactobacillus
Sulfitobacter sp. DSM 110093	2883127	Bacteria	NA	NA	Roseobacteraceae	Sulfitobacter
Leeuwenhoekiella palythoae	573501	Bacteria	FCB group	NA	Flavobacteriaceae	Leeuwenhoekiella
Ormenosvirus syn9	2956240	Viruses	Duplodnaviria	Heunggongvirae	Kyanoviridae	Ormenosvirus
Pahexavirus P104A	1982268	Viruses	Duplodnaviria	Heunggongvirae	NA	Pahexavirus
Serratia sp. JSRIV001	2831893	Bacteria	NA	NA	Yersiniaceae	Serratia
Thermosipho sp. 1063	1462747	Bacteria	NA	NA	Fervidobacteriaceae	Thermosipho
Thetahypovirus sclerotii	2956520	Viruses	Riboviria	Orthornavirae	Hypoviridae	Thetahypovirus
Flaumdravirus KIL2	2560665	Viruses	Duplodnaviria	Heunggongvirae	NA	Flaumdravirus
Wolbachia endosymbiont (group B) of Episyrphus balteatus	2954009	Bacteria	NA	NA	Anaplasmataceae	Wolbachia
Elmenteitavirus ev125	2843749	Viruses	Duplodnaviria	Heunggongvirae	NA	Elmenteitavirus
Pitaya virus X	1176736	Viruses	Riboviria	Orthornavirae	Alphaflexiviridae	Potexvirus
Scotophilus bat coronavirus 512	693999	Viruses	Riboviria	Orthornavirae	Coronaviridae	Alphacoronavirus
Torque teno virus 8	687347	Viruses	NA	NA	Anelloviridae	Alphatorquevirus
Synechococcus phage S-SCSM1	2588487	Viruses	Duplodnaviria	Heunggongvirae	Kyanoviridae	Zhoulongquanvirus
Citrobacter freundii complex sp. CFNIH3	2077147	Bacteria	NA	NA	Enterobacteriaceae	Citrobacter
Chlamydia caviae	83557	Bacteria	PVC group	NA	Chlamydiaceae	Chlamydia
Marinobacter sp. THAF39	2587857	Bacteria	NA	NA	Marinobacteraceae	Marinobacter
Methanobrevibacter sp. TLL-48-HuF1	2870563	Archaea	Methanomada group	NA	Methanobacteriaceae	Methanobrevibacter
Gihfavirus pelohabitans	2844652	Viruses	Riboviria	Orthornavirae	Steitzviridae	Gihfavirus
Pseudoalteromonas sp. Scap25	2589992	Bacteria	NA	NA	Pseudoalteromonadaceae	Pseudoalteromonas
Natronococcus occultus	29288	Archaea	Stenosarchaea group	NA	Natrialbaceae	Natronococcus
Cacao swollen shoot Ghana J virus	2056880	Viruses	Riboviria	Pararnavirae	Caulimoviridae	Badnavirus
Gordonia virus Yvonnetastic	2560514	Viruses	Duplodnaviria	Heunggongvirae	NA	Yvonnevirus
Geoglobus ahangari	113653	Archaea	NA	NA	Archaeoglobaceae	Geoglobus
Heterocapsa circularisquama DNA virus 01	650121	Viruses	NA	NA	NA	Dinodnavirus
